arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).

att(x1,x7).
att(x2,x12).
att(x3,x4).
att(x3,x5).
att(x4,x3).
att(x4,x10).
att(x5,x4).
att(x7,x15).
att(x8,x11).
att(x8,x14).
att(x9,x6).
att(x10,x12).
att(x11,x2).
att(x11,x8).
att(x12,x1).
att(x14,x4).
att(x14,x11).
att(x14,x12).

str(x1,6).
str(x2,8).
str(x3,8).
str(x4,8).
str(x5,20).
str(x6,19).
str(x7,10).
str(x8,7).
str(x9,19).
str(x10,12).
str(x11,3).
str(x12,10).
str(x13,1).
str(x14,17).
str(x15,15).
