arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).

att(x1,x30).
att(x3,x6).
att(x3,x14).
att(x3,x16).
att(x4,x2).
att(x4,x9).
att(x4,x17).
att(x4,x21).
att(x4,x23).
att(x4,x27).
att(x5,x4).
att(x6,x14).
att(x6,x18).
att(x6,x24).
att(x7,x11).
att(x7,x12).
att(x7,x17).
att(x7,x24).
att(x7,x27).
att(x8,x13).
att(x8,x18).
att(x9,x10).
att(x9,x16).
att(x10,x3).
att(x10,x5).
att(x10,x9).
att(x11,x5).
att(x11,x17).
att(x12,x7).
att(x12,x9).
att(x12,x15).
att(x12,x20).
att(x12,x24).
att(x12,x27).
att(x13,x14).
att(x14,x2).
att(x14,x15).
att(x14,x24).
att(x14,x25).
att(x14,x28).
att(x15,x18).
att(x16,x3).
att(x16,x20).
att(x16,x23).
att(x17,x4).
att(x17,x7).
att(x18,x1).
att(x18,x4).
att(x18,x7).
att(x18,x10).
att(x18,x23).
att(x18,x26).
att(x18,x27).
att(x19,x3).
att(x19,x6).
att(x19,x24).
att(x19,x26).
att(x20,x2).
att(x20,x3).
att(x20,x14).
att(x20,x29).
att(x21,x16).
att(x21,x20).
att(x21,x27).
att(x22,x13).
att(x22,x29).
att(x23,x13).
att(x23,x14).
att(x23,x27).
att(x24,x6).
att(x24,x8).
att(x25,x20).
att(x25,x24).
att(x25,x26).
att(x26,x19).
att(x26,x24).
att(x27,x10).
att(x27,x12).
att(x27,x13).
att(x28,x3).
att(x28,x8).
att(x28,x17).
att(x28,x18).
att(x28,x20).
att(x28,x23).
att(x29,x1).
att(x29,x7).
att(x29,x12).
att(x30,x2).
att(x30,x13).

str(x1,13).
str(x2,4).
str(x3,17).
str(x4,18).
str(x5,3).
str(x6,20).
str(x7,19).
str(x8,10).
str(x9,18).
str(x10,20).
str(x11,15).
str(x12,19).
str(x13,8).
str(x14,4).
str(x15,17).
str(x16,13).
str(x17,18).
str(x18,12).
str(x19,3).
str(x20,3).
str(x21,5).
str(x22,8).
str(x23,1).
str(x24,7).
str(x25,6).
str(x26,15).
str(x27,7).
str(x28,9).
str(x29,4).
str(x30,19).
