arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x5).
att(x1,x6).
att(x1,x7).
att(x1,x10).
att(x1,x14).
att(x1,x24).
att(x2,x8).
att(x2,x11).
att(x2,x13).
att(x2,x16).
att(x3,x4).
att(x3,x12).
att(x3,x23).
att(x4,x15).
att(x5,x9).
att(x5,x20).
att(x10,x18).
att(x12,x17).
att(x12,x21).
att(x13,x22).
att(x17,x19).

str(x0,17).
str(x1,7).
str(x2,8).
str(x3,8).
str(x4,17).
str(x5,14).
str(x6,14).
str(x7,10).
str(x8,12).
str(x9,13).
str(x10,1).
str(x11,13).
str(x12,12).
str(x13,3).
str(x14,8).
str(x15,14).
str(x16,15).
str(x17,16).
str(x18,14).
str(x19,17).
str(x20,2).
str(x21,6).
str(x22,12).
str(x23,14).
str(x24,10).
