arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).

att(x0,x1).
att(x1,x2).
att(x1,x7).
att(x2,x3).
att(x2,x6).
att(x2,x12).
att(x2,x13).
att(x2,x18).
att(x2,x22).
att(x2,x24).
att(x2,x27).
att(x2,x29).
att(x2,x34).
att(x3,x4).
att(x3,x5).
att(x3,x8).
att(x3,x9).
att(x3,x10).
att(x3,x11).
att(x3,x14).
att(x3,x26).
att(x4,x16).
att(x4,x17).
att(x5,x33).
att(x8,x20).
att(x8,x31).
att(x8,x32).
att(x12,x15).
att(x12,x30).
att(x18,x19).
att(x19,x21).
att(x20,x25).
att(x21,x23).
att(x21,x28).

str(x0,18).
str(x1,11).
str(x2,19).
str(x3,18).
str(x4,17).
str(x5,2).
str(x6,18).
str(x7,8).
str(x8,12).
str(x9,11).
str(x10,10).
str(x11,17).
str(x12,11).
str(x13,3).
str(x14,19).
str(x15,3).
str(x16,7).
str(x17,7).
str(x18,17).
str(x19,7).
str(x20,13).
str(x21,17).
str(x22,15).
str(x23,15).
str(x24,16).
str(x25,9).
str(x26,1).
str(x27,9).
str(x28,16).
str(x29,16).
str(x30,6).
str(x31,2).
str(x32,1).
str(x33,17).
str(x34,3).
