arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x4).
att(x1,x5).
att(x1,x6).
att(x1,x7).
att(x1,x8).
att(x1,x9).
att(x1,x10).
att(x1,x11).
att(x1,x19).
att(x1,x20).
att(x1,x23).
att(x1,x25).
att(x1,x31).
att(x1,x35).
att(x2,x24).
att(x3,x34).
att(x4,x15).
att(x6,x12).
att(x6,x13).
att(x6,x14).
att(x7,x17).
att(x7,x27).
att(x8,x26).
att(x8,x37).
att(x9,x29).
att(x9,x36).
att(x10,x38).
att(x11,x16).
att(x12,x30).
att(x12,x39).
att(x13,x18).
att(x13,x22).
att(x13,x33).
att(x15,x21).
att(x18,x28).
att(x18,x32).

str(x0,11).
str(x1,6).
str(x2,15).
str(x3,9).
str(x4,7).
str(x5,13).
str(x6,19).
str(x7,1).
str(x8,15).
str(x9,6).
str(x10,12).
str(x11,3).
str(x12,13).
str(x13,10).
str(x14,19).
str(x15,13).
str(x16,18).
str(x17,19).
str(x18,8).
str(x19,15).
str(x20,4).
str(x21,18).
str(x22,18).
str(x23,14).
str(x24,4).
str(x25,7).
str(x26,5).
str(x27,11).
str(x28,15).
str(x29,14).
str(x30,2).
str(x31,7).
str(x32,4).
str(x33,8).
str(x34,7).
str(x35,9).
str(x36,19).
str(x37,14).
str(x38,17).
str(x39,5).
