arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x4).
att(x1,x8).
att(x1,x10).
att(x1,x12).
att(x1,x13).
att(x1,x15).
att(x1,x17).
att(x1,x19).
att(x1,x22).
att(x1,x24).
att(x1,x30).
att(x1,x38).
att(x1,x42).
att(x2,x29).
att(x2,x35).
att(x3,x5).
att(x4,x40).
att(x5,x6).
att(x5,x7).
att(x5,x16).
att(x5,x25).
att(x5,x31).
att(x5,x41).
att(x6,x14).
att(x6,x18).
att(x6,x36).
att(x8,x9).
att(x8,x21).
att(x8,x23).
att(x8,x26).
att(x8,x37).
att(x9,x11).
att(x11,x20).
att(x11,x28).
att(x11,x32).
att(x13,x44).
att(x19,x34).
att(x21,x39).
att(x22,x33).
att(x26,x27).
att(x27,x43).

str(x0,4).
str(x1,10).
str(x2,14).
str(x3,17).
str(x4,1).
str(x5,16).
str(x6,5).
str(x7,18).
str(x8,1).
str(x9,12).
str(x10,12).
str(x11,11).
str(x12,1).
str(x13,2).
str(x14,18).
str(x15,3).
str(x16,16).
str(x17,10).
str(x18,8).
str(x19,12).
str(x20,12).
str(x21,11).
str(x22,6).
str(x23,2).
str(x24,6).
str(x25,15).
str(x26,4).
str(x27,4).
str(x28,18).
str(x29,4).
str(x30,6).
str(x31,10).
str(x32,15).
str(x33,6).
str(x34,12).
str(x35,6).
str(x36,1).
str(x37,17).
str(x38,12).
str(x39,14).
str(x40,8).
str(x41,2).
str(x42,11).
str(x43,9).
str(x44,13).
