arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).

att(x0,x1).
att(x1,x2).
att(x1,x4).
att(x1,x8).
att(x1,x10).
att(x1,x11).
att(x1,x17).
att(x1,x29).
att(x1,x40).
att(x2,x3).
att(x2,x5).
att(x2,x6).
att(x2,x9).
att(x2,x20).
att(x2,x22).
att(x2,x24).
att(x2,x26).
att(x2,x35).
att(x2,x41).
att(x2,x46).
att(x3,x28).
att(x3,x47).
att(x4,x7).
att(x4,x13).
att(x4,x15).
att(x4,x37).
att(x4,x38).
att(x4,x43).
att(x4,x49).
att(x6,x16).
att(x6,x23).
att(x7,x18).
att(x7,x21).
att(x7,x33).
att(x8,x14).
att(x8,x25).
att(x9,x42).
att(x11,x12).
att(x13,x19).
att(x15,x30).
att(x15,x36).
att(x17,x48).
att(x23,x32).
att(x24,x27).
att(x30,x31).
att(x30,x45).
att(x33,x34).
att(x38,x39).
att(x38,x44).

str(x0,2).
str(x1,14).
str(x2,1).
str(x3,8).
str(x4,4).
str(x5,12).
str(x6,3).
str(x7,2).
str(x8,6).
str(x9,10).
str(x10,19).
str(x11,6).
str(x12,14).
str(x13,17).
str(x14,1).
str(x15,12).
str(x16,15).
str(x17,13).
str(x18,6).
str(x19,7).
str(x20,8).
str(x21,17).
str(x22,3).
str(x23,3).
str(x24,18).
str(x25,15).
str(x26,4).
str(x27,11).
str(x28,12).
str(x29,7).
str(x30,19).
str(x31,15).
str(x32,10).
str(x33,7).
str(x34,16).
str(x35,10).
str(x36,19).
str(x37,17).
str(x38,4).
str(x39,4).
str(x40,10).
str(x41,14).
str(x42,8).
str(x43,19).
str(x44,10).
str(x45,17).
str(x46,17).
str(x47,5).
str(x48,3).
str(x49,14).
