arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x6).
att(x1,x8).
att(x1,x9).
att(x1,x10).
att(x1,x11).
att(x1,x12).
att(x1,x13).
att(x1,x26).
att(x1,x28).
att(x1,x29).
att(x1,x32).
att(x1,x50).
att(x3,x4).
att(x3,x5).
att(x3,x14).
att(x3,x16).
att(x3,x21).
att(x3,x24).
att(x3,x25).
att(x3,x27).
att(x3,x35).
att(x3,x47).
att(x3,x56).
att(x4,x22).
att(x5,x33).
att(x6,x7).
att(x6,x49).
att(x7,x17).
att(x8,x20).
att(x9,x36).
att(x9,x40).
att(x10,x19).
att(x10,x39).
att(x10,x54).
att(x11,x15).
att(x12,x42).
att(x13,x18).
att(x13,x34).
att(x13,x38).
att(x13,x48).
att(x13,x53).
att(x15,x23).
att(x16,x58).
att(x20,x44).
att(x21,x30).
att(x21,x52).
att(x23,x31).
att(x24,x41).
att(x28,x59).
att(x32,x57).
att(x34,x37).
att(x34,x45).
att(x35,x43).
att(x36,x55).
att(x41,x51).
att(x42,x46).

str(x0,8).
str(x1,7).
str(x2,10).
str(x3,17).
str(x4,7).
str(x5,15).
str(x6,10).
str(x7,8).
str(x8,1).
str(x9,5).
str(x10,12).
str(x11,9).
str(x12,7).
str(x13,5).
str(x14,16).
str(x15,7).
str(x16,3).
str(x17,17).
str(x18,12).
str(x19,4).
str(x20,2).
str(x21,8).
str(x22,4).
str(x23,3).
str(x24,9).
str(x25,19).
str(x26,4).
str(x27,7).
str(x28,15).
str(x29,17).
str(x30,1).
str(x31,5).
str(x32,9).
str(x33,11).
str(x34,1).
str(x35,18).
str(x36,15).
str(x37,18).
str(x38,14).
str(x39,7).
str(x40,6).
str(x41,16).
str(x42,3).
str(x43,13).
str(x44,12).
str(x45,17).
str(x46,7).
str(x47,16).
str(x48,6).
str(x49,5).
str(x50,14).
str(x51,16).
str(x52,2).
str(x53,6).
str(x54,10).
str(x55,2).
str(x56,12).
str(x57,7).
str(x58,17).
str(x59,17).
