arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).
arg(x60).
arg(x61).
arg(x62).
arg(x63).
arg(x64).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x7).
att(x1,x9).
att(x1,x11).
att(x1,x12).
att(x1,x18).
att(x1,x20).
att(x1,x26).
att(x1,x32).
att(x1,x40).
att(x1,x43).
att(x1,x49).
att(x1,x52).
att(x1,x53).
att(x1,x55).
att(x1,x57).
att(x1,x60).
att(x2,x4).
att(x2,x6).
att(x2,x15).
att(x2,x24).
att(x2,x25).
att(x2,x27).
att(x3,x5).
att(x3,x8).
att(x3,x14).
att(x3,x16).
att(x3,x64).
att(x5,x17).
att(x5,x28).
att(x6,x22).
att(x7,x51).
att(x8,x30).
att(x8,x36).
att(x8,x41).
att(x9,x10).
att(x9,x13).
att(x9,x34).
att(x9,x37).
att(x9,x42).
att(x9,x54).
att(x9,x58).
att(x13,x21).
att(x15,x19).
att(x15,x31).
att(x17,x23).
att(x17,x35).
att(x19,x45).
att(x19,x56).
att(x21,x38).
att(x22,x44).
att(x25,x50).
att(x26,x29).
att(x27,x48).
att(x29,x33).
att(x29,x59).
att(x30,x46).
att(x30,x47).
att(x36,x39).
att(x36,x61).
att(x53,x62).
att(x56,x63).

str(x0,7).
str(x1,8).
str(x2,10).
str(x3,4).
str(x4,12).
str(x5,6).
str(x6,15).
str(x7,12).
str(x8,16).
str(x9,19).
str(x10,6).
str(x11,10).
str(x12,15).
str(x13,11).
str(x14,11).
str(x15,12).
str(x16,12).
str(x17,9).
str(x18,8).
str(x19,7).
str(x20,7).
str(x21,2).
str(x22,10).
str(x23,6).
str(x24,14).
str(x25,11).
str(x26,13).
str(x27,19).
str(x28,19).
str(x29,17).
str(x30,5).
str(x31,11).
str(x32,1).
str(x33,4).
str(x34,12).
str(x35,6).
str(x36,5).
str(x37,13).
str(x38,14).
str(x39,3).
str(x40,17).
str(x41,6).
str(x42,19).
str(x43,11).
str(x44,18).
str(x45,17).
str(x46,9).
str(x47,18).
str(x48,5).
str(x49,9).
str(x50,13).
str(x51,9).
str(x52,3).
str(x53,4).
str(x54,18).
str(x55,12).
str(x56,10).
str(x57,1).
str(x58,9).
str(x59,4).
str(x60,4).
str(x61,6).
str(x62,19).
str(x63,15).
str(x64,11).
