arg(x0).
arg(x1).
arg(x2).
arg(x3).
arg(x4).
arg(x5).
arg(x6).
arg(x7).
arg(x8).
arg(x9).
arg(x10).
arg(x11).
arg(x12).
arg(x13).
arg(x14).
arg(x15).
arg(x16).
arg(x17).
arg(x18).
arg(x19).
arg(x20).
arg(x21).
arg(x22).
arg(x23).
arg(x24).
arg(x25).
arg(x26).
arg(x27).
arg(x28).
arg(x29).
arg(x30).
arg(x31).
arg(x32).
arg(x33).
arg(x34).
arg(x35).
arg(x36).
arg(x37).
arg(x38).
arg(x39).
arg(x40).
arg(x41).
arg(x42).
arg(x43).
arg(x44).
arg(x45).
arg(x46).
arg(x47).
arg(x48).
arg(x49).
arg(x50).
arg(x51).
arg(x52).
arg(x53).
arg(x54).
arg(x55).
arg(x56).
arg(x57).
arg(x58).
arg(x59).
arg(x60).
arg(x61).
arg(x62).
arg(x63).
arg(x64).
arg(x65).
arg(x66).
arg(x67).
arg(x68).
arg(x69).

att(x0,x1).
att(x1,x2).
att(x1,x3).
att(x1,x5).
att(x1,x7).
att(x1,x9).
att(x1,x16).
att(x1,x22).
att(x1,x37).
att(x1,x39).
att(x1,x61).
att(x2,x4).
att(x2,x6).
att(x2,x10).
att(x2,x15).
att(x2,x23).
att(x2,x24).
att(x2,x40).
att(x2,x57).
att(x2,x66).
att(x3,x11).
att(x3,x12).
att(x3,x13).
att(x3,x14).
att(x3,x19).
att(x3,x45).
att(x4,x8).
att(x4,x28).
att(x4,x58).
att(x5,x43).
att(x6,x17).
att(x6,x18).
att(x7,x42).
att(x7,x47).
att(x8,x21).
att(x8,x27).
att(x8,x29).
att(x8,x56).
att(x11,x20).
att(x11,x26).
att(x11,x30).
att(x11,x44).
att(x11,x50).
att(x11,x67).
att(x12,x51).
att(x12,x65).
att(x13,x31).
att(x13,x49).
att(x15,x34).
att(x17,x25).
att(x18,x33).
att(x18,x52).
att(x22,x41).
att(x24,x48).
att(x26,x38).
att(x27,x32).
att(x28,x35).
att(x32,x63).
att(x33,x36).
att(x36,x53).
att(x37,x46).
att(x37,x54).
att(x38,x55).
att(x41,x68).
att(x49,x62).
att(x55,x59).
att(x57,x60).
att(x58,x64).
att(x62,x69).

str(x0,19).
str(x1,17).
str(x2,16).
str(x3,1).
str(x4,18).
str(x5,6).
str(x6,3).
str(x7,19).
str(x8,17).
str(x9,19).
str(x10,14).
str(x11,14).
str(x12,18).
str(x13,7).
str(x14,12).
str(x15,17).
str(x16,1).
str(x17,6).
str(x18,1).
str(x19,8).
str(x20,12).
str(x21,1).
str(x22,10).
str(x23,12).
str(x24,1).
str(x25,5).
str(x26,4).
str(x27,10).
str(x28,4).
str(x29,6).
str(x30,9).
str(x31,14).
str(x32,6).
str(x33,5).
str(x34,6).
str(x35,4).
str(x36,2).
str(x37,11).
str(x38,13).
str(x39,1).
str(x40,1).
str(x41,11).
str(x42,4).
str(x43,17).
str(x44,4).
str(x45,9).
str(x46,8).
str(x47,3).
str(x48,9).
str(x49,9).
str(x50,4).
str(x51,10).
str(x52,1).
str(x53,6).
str(x54,10).
str(x55,14).
str(x56,8).
str(x57,17).
str(x58,17).
str(x59,12).
str(x60,18).
str(x61,12).
str(x62,12).
str(x63,14).
str(x64,17).
str(x65,7).
str(x66,14).
str(x67,5).
str(x68,19).
str(x69,17).
